Name 	ID	Neighbors	Relay
A	0	1,2,3,4,5	1
B	1	0,2,6,7,8	1
C	2	0,1,3,6,8	0
D	3	0,2,4,8,9	1
E	4	0,3,9,10,11	0
F	5	0,10,11,16,18	1
G	6	1,2,7,12,13	1
H	7	1,6,13,15,16	0
I	8	1,2,3,9,15	0
J	9	3,4,8,10,16	0
K	10	4,5,9,11,17	0
L	11	4,5,10,17,24	1
M	12	6,13,19,20,25	1
N	13	6,7,12,14,19	1
O	14	7,13,15,20,21	1
P	15	7,8,14,16,21	0
Q	16	5,9,15,17,22	1
R	17	10,11,16,18,22	1
S	18	5,17,22,24,25	1
T	19	12,13,20,23,24	1
U	20	12,14,19,21,25	1
V	21	14,15,20,22,23	0
W	22	16,17,18,21,23	1
X	23	19,21,22,24,25	0
Y	24	11,18,19,23,25	0
Z	25	12,18,20,23,24	1
